

KLB,Korean Living Bible (KLB)
VULGATE,Biblia Sacra Vulgata (VULGATE)
LCB,Endagaano Enkadde nʼEndagaano Empya (LCB)
MAORI,Maori Bible (MAORI)
MNT,Macedonian New Testament (MNT)
ERV-MR,Marathi Bible: Easy-to-Read Version (ERV-MR)
MVC,Mam: Central (MVC)
MVJ,Mam de Todos Santos Chuchumatán (MVJ)
REIMER,Reimer 2001 (REIMER)
ERV-NE,Nepali Bible: Easy-to-Read Version (ERV-NE)
NGU,Náhuatl de Guerrero (NGU)
BB,BasisBijbel (BB)
HTB,Het Boek (HTB)
DNB1930,Det Norsk Bibelselskap 1930 (DNB1930)
LB,En Levende Bok (LB)
CCL,Mawu a Mulungu mu Chichewa Chalero (CCL)
ERV-OR,Oriya Bible: Easy-to-Read Version (ERV-OR)
ERV-PA,Punjabi Bible: Easy-to-Read Version (ERV-PA)
NP,Nowe Przymierze (NP)
SZ-PL,Słowo Życia (SZ-PL)
UBG,Updated Gdańsk Bible (UBG)
NBTN,Ne Bibliaj Tik Nawat (NBTN)
ARC,Almeida Revista e Corrigida 2009 (ARC)
VFL,Portuguese New Testament: Easy-to-Read Version (VFL)
NTLH,Nova Traduҫão na Linguagem de Hoje 2000 (NTLH)
NVT,Nova Versão Transformadora (NVT)
NVI-PT,Nova Versão Internacional (NVI-PT)
OL,O Livro (OL)
MTDS,Mushuj Testamento Diospaj Shimi (MTDS)
QUT,Quiché: Centro Occidental (QUT)
RMNN,Cornilescu 1924 - Revised 2010: 2014 (RMNN)
NTLR,Nouă Traducere În Limba Română (NTLR)
NRT,New Russian Translation (NRT)
CARS,Священное Писание (Восточный Перевод) (CARS)
CARST,Священное Писание (Восточный перевод): версия для Таджикистана (CARST)
CARSA,Священное Писание (Восточный перевод): версия с «Аллахом» (CARSA)
ERV-RU,Russian New Testament: Easy-to-Read Version (ERV-RU)
RUSV,Russian Synodal Version (RUSV)
NPK,Nádej pre kazdého (NPK)
SOM,Somali Bible (SOM)
ALB,Albanian Bible (ALB)
NSP,New Serbian Translation (NSP)
ERV-SR,Serbian New Testament: Easy-to-Read Version (ERV-SR)
